Timestamp (ms),Ch0 (uV),Ch1 (uV),Ch2 (uV),Ch3 (uV),Ch4 (uV),Ch5 (uV),Ch6 (uV),Ch7 (uV),Ch8 (uV),Ch9 (uV),Ch10 (uV),Ch11 (uV)
1032739,-114026,-108009,40206,316724,166054,-114212,227555,-118577,-114266,66252,232658,39973
1032740,-114036,-108013,40212,316731,166067,-114207,227566,-118585,-114260,66239,232638,39978
1032741,-114029,-107989,40233,316754,166080,-114210,227528,-118559,-114263,66211,232684,40001
1032742,-113999,-107964,40251,316792,166100,-114181,227434,-118547,-114235,66245,232766,40020
1032743,-113990,-107949,40251,316829,166136,-114170,227377,-118521,-114225,66325,232836,40017
1032744,-113969,-107913,40257,316847,166140,-114169,227455,-118509,-114222,66337,232908,40021
1032745,-113940,-107906,40239,316858,166082,-114150,227600,-118500,-114204,66369,232986,40005
1032746,-113901,-107892,40227,316910,166016,-114126,227737,-118480,-114179,66390,233031,39994
1032747,-113862,-107874,40223,316900,165962,-114064,227828,-118421,-114118,66447,233069,39990
1032748,-113810,-107845,40273,316873,165942,-114032,227839,-118390,-114085,66521,233084,40037
1032749,-113786,-107814,40315,316908,165991,-114017,227859,-118372,-114069,66536,233088,40082
1032750,-113768,-107818,40349,316929,166047,-114014,227857,-118371,-114067,66529,233079,40113
1032751,-113790,-107834,40351,316912,166021,-114013,227903,-118359,-114066,66520,233082,40117
1032752,-113844,-107860,40308,316829,166018,-114024,227913,-118364,-114077,66517,233107,40072
1032753,-113846,-107867,40286,316740,166052,-114042,227875,-118384,-114095,66473,233027,40051
1032754,-113901,-107893,40282,316743,166045,-114078,227820,-118407,-114133,66429,232924,40045
1032755,-113922,-107896,40287,316776,166100,-114125,227744,-118437,-114175,66366,232827,40054
1032756,-113977,-107904,40266,316790,166088,-114157,227648,-118464,-114207,66334,232839,40035
1032757,-114019,-107925,40272,316783,166048,-114146,227544,-118434,-114199,66326,232826,40036
1032758,-114007,-107896,40290,316826,165994,-114136,227285,-118421,-114189,66359,232856,40057
1032759,-114008,-107887,40306,316867,165918,-114134,227083,-118415,-114187,66368,232885,40071
1032760,-114044,-107895,40293,316855,165936,-114133,227157,-118415,-114185,66383,232909,40059
1032761,-114057,-107896,40265,316830,165999,-114129,227347,-118415,-114184,66393,232913,40031
1032762,-114051,-107899,40252,316818,166029,-114112,227450,-118407,-114161,66444,232955,40022
1032763,-113989,-107901,40254,316841,166068,-114123,227597,-118422,-114176,66453,232984,40018
1032764,-113921,-107875,40271,316878,166053,-114129,227791,-118412,-114180,66423,232943,40038
1032765,-113847,-107851,40335,316975,166128,-114118,227805,-118413,-114172,66408,232886,40099
1032766,-113801,-107833,40376,316994,166200,-114040,227779,-118380,-114095,66434,232899,40141
1032767,-113801,-107803,40410,317021,166211,-114007,227865,-118356,-114061,66509,232993,40175
1032768,-113788,-107765,40457,317088,166238,-114013,227912,-118384,-114067,66512,233109,40224
1032769,-113750,-107724,40512,317168,166408,-113996,227918,-118374,-114048,66494,233117,40279
1032770,-113697,-107715,40542,317150,166505,-113980,227932,-118364,-114034,66509,233081,40305
1032771,-113666,-107691,40541,317103,166524,-113973,227937,-118353,-114024,66551,233123,40308
1032772,-113669,-107674,40491,317071,166479,-113984,227934,-118353,-114038,66556,233159,40258
1032773,-113685,-107687,40461,317070,166410,-113961,227912,-118355,-114014,66537,233122,40227
1032774,-113714,-107719,40409,317068,166384,-113980,227929,-118373,-114035,66484,233156,40178
1032775,-113732,-107725,40413,317059,166293,-114026,227941,-118401,-114080,66456,233165,40184
1032776,-113762,-107737,40457,317097,166152,-114045,227912,-118429,-114099,66458,233134,40226
1032777,-113782,-107766,40473,317053,166015,-114057,227831,-118427,-114110,66503,233149,40239
1032778,-113796,-107772,40462,316963,165948,-114020,227783,-118420,-114074,66536,233187,40230
1032779,-113807,-107777,40448,316912,165993,-113990,227642,-118394,-114043,66525,233171,40214
1032780,-113802,-107800,40426,316901,166077,-113971,227608,-118379,-114023,66515,233137,40193
1032781,-113806,-107789,40431,316869,166147,-114001,227706,-118376,-114054,66484,233137,40196
1032782,-113810,-107789,40429,316939,166199,-114037,227767,-118401,-114093,66459,233063,40197
1032783,-113817,-107772,40445,317023,166213,-114023,227830,-118395,-114074,66473,233063,40211
1032784,-113813,-107758,40460,317048,166216,-114023,227885,-118386,-114078,66506,233075,40227
1032785,-113778,-107728,40514,317114,166212,-114024,227898,-118386,-114077,66530,233102,40280
1032786,-113764,-107712,40527,317112,166240,-113986,227917,-118373,-114039,66576,233135,40295
1032787,-113741,-107685,40539,317123,166324,-113961,227956,-118348,-114014,66605,233172,40305
1032788,-113708,-107671,40576,317177,166419,-113940,227969,-118326,-113992,66599,233128,40341
1032789,-113695,-107646,40617,317189,166457,-113937,227946,-118294,-113992,66608,233144,40382
1032790,-113670,-107628,40642,317238,166547,-113977,227935,-118286,-114027,66524,233112,40412
1032791,-113661,-107626,40641,317278,166559,-113990,227900,-118303,-114044,66464,233046,40407
1032792,-113707,-107660,40568,317254,166558,-113995,227898,-118317,-114043,66478,232985,40337
1032793,-113759,-107691,40494,317230,166465,-114014,227830,-118338,-114068,66496,232928,40264
1032794,-113798,-107712,40480,317257,166301,-114025,227756,-118380,-114079,66485,232937,40246
1032795,-113828,-107714,40473,317218,166195,-114056,227635,-118417,-114110,66463,232967,40240
1032796,-113846,-107734,40484,317076,166140,-114056,227561,-118434,-114105,66463,232976,40254
1032797,-113878,-107742,40491,316950,166126,-114077,227561,-118449,-114129,66425,232941,40257
1032798,-113884,-107774,40488,316888,166128,-114063,227514,-118448,-114116,66420,232905,40256
1032799,-113878,-107793,40469,316841,166092,-114042,227478,-118430,-114096,66437,232815,40234
1032800,-113891,-107807,40442,316901,166007,-114043,227514,-118435,-114097,66434,232849,40208
1032801,-113943,-107824,40426,316901,165972,-114085,227623,-118424,-114141,66428,232960,40192
1032802,-113981,-107833,40397,316894,165984,-114091,227731,-118427,-114145,66456,233035,40165
1032803,-113980,-107808,40378,316915,166029,-114070,227730,-118419,-114122,66533,233037,40144
1032804,-113928,-107799,40342,316919,166080,-114008,227642,-118403,-114061,66574,233101,40108
1032805,-113895,-107761,40373,316985,166133,-113955,227541,-118400,-114006,66567,233166,40141
1032806,-113877,-107731,40444,317058,166211,-113948,227491,-118373,-113999,66574,233156,40208
1032807,-113850,-107718,40529,317056,166289,-113949,227482,-118370,-113999,66621,233188,40296
1032808,-113828,-107722,40544,317077,166348,-113936,227506,-118351,-113989,66617,233175,40311
1032809,-113801,-107724,40541,317097,166407,-113926,227622,-118325,-113979,66591,233156,40307
1032810,-113827,-107732,40550,317112,166380,-113931,227776,-118330,-113983,66576,233117,40315
