Timestamp (ms),Ch0 (uV),Ch1 (uV),Ch2 (uV),Ch3 (uV),Ch4 (uV),Ch5 (uV),Ch6 (uV),Ch7 (uV),Ch8 (uV),Ch9 (uV),Ch10 (uV),Ch11 (uV)
1024121,-114635,-107485,38463,316763,165550,-114771,226240,-119342,-114822,65962,232408,38226
1024122,-114638,-107486,38478,316821,165561,-114772,226262,-119325,-114825,65979,232396,38245
1024123,-114588,-107458,38497,316838,165553,-114768,226302,-119314,-114820,65974,232446,38260
1024124,-114550,-107425,38500,316850,165516,-114738,226311,-119285,-114790,66024,232477,38265
1024125,-114483,-107405,38496,316889,165430,-114757,226376,-119234,-114807,66076,232510,38259
1024126,-114406,-107390,38489,316947,165321,-114797,226436,-119192,-114847,66120,232624,38257
1024127,-114362,-107373,38492,317017,165421,-114781,226458,-119168,-114833,66088,232723,38257
1024128,-114333,-107346,38492,316954,165568,-114718,226470,-119130,-114771,66081,232722,38256
1024129,-114331,-107332,38572,317007,165643,-114631,226401,-119108,-114683,66078,232709,38337
1024130,-114346,-107333,38611,317045,165642,-114591,226352,-119116,-114645,66085,232767,38376
1024131,-114368,-107361,38645,317063,165588,-114561,226383,-119164,-114611,66086,232799,38411
1024133,-114448,-107404,38616,317024,165626,-114609,226335,-119231,-114661,66100,232586,38381
1024134,-114518,-107414,38608,316974,165634,-114657,226316,-119256,-114710,66071,232541,38372
1024136,-114537,-107435,38575,316835,165443,-114700,226377,-119258,-114753,66046,232314,38337
1024137,-114553,-107457,38533,316790,165490,-114725,226393,-119270,-114778,66067,232226,38299
1024138,-114562,-107475,38507,316801,165534,-114743,226326,-119317,-114794,66025,232269,38271
1024139,-114569,-107489,38508,316867,165597,-114751,226214,-119346,-114803,65935,232317,38273
1024140,-114583,-107487,38453,316907,165635,-114733,226181,-119347,-114783,65920,232326,38220
1024141,-114618,-107505,38411,316860,165538,-114681,226270,-119317,-114732,65980,232397,38176
1024142,-114629,-107486,38433,316904,165447,-114617,226330,-119285,-114673,66012,232428,38197
1024143,-114594,-107452,38486,316945,165339,-114578,226374,-119255,-114634,66053,232405,38254
1024144,-114521,-107432,38523,317019,165328,-114567,226458,-119209,-114623,66008,232398,38288
1024145,-114507,-107424,38554,317019,165308,-114563,226527,-119206,-114614,66018,232523,38320
1024146,-114495,-107402,38568,317012,165366,-114552,226508,-119190,-114607,66096,232704,38334
1024147,-114461,-107379,38630,317016,165511,-114529,226488,-119161,-114585,66161,232796,38396
1024148,-114423,-107373,38632,317043,165650,-114499,226463,-119138,-114554,66193,232774,38396
1024149,-114383,-107370,38644,317130,165749,-114483,226474,-119131,-114535,66203,232779,38411
1024150,-114364,-107357,38639,317203,165840,-114490,226478,-119139,-114545,66199,232710,38404
1024151,-114372,-107381,38618,317164,165917,-114468,226423,-119120,-114522,66233,232689,38380
1024152,-114402,-107382,38608,317139,165913,-114487,226389,-119145,-114542,66176,232718,38374
1024153,-114433,-107407,38602,317168,165914,-114578,226416,-119193,-114630,66055,232690,38366
1024154,-114460,-107428,38560,317120,165851,-114590,226370,-119212,-114644,66018,232638,38324
1024155,-114477,-107448,38539,317078,165805,-114600,226359,-119230,-114655,66020,232623,38303
1024156,-114496,-107462,38502,317051,165723,-114622,226312,-119246,-114679,66003,232645,38263
1024157,-114519,-107455,38483,317024,165648,-114663,226291,-119239,-114715,66005,232576,38248
1024158,-114539,-107463,38472,317001,165492,-114634,226303,-119226,-114687,66019,232494,38233
1024159,-114554,-107477,38470,316989,165406,-114618,226268,-119232,-114670,65973,232496,38234
1024160,-114541,-107489,38455,316981,165444,-114594,226205,-119215,-114647,65996,232496,38219
1024161,-114554,-107482,38480,316904,165525,-114575,226204,-119202,-114626,66018,232535,38247
1024162,-114519,-107457,38505,316892,165531,-114538,226240,-119174,-114591,66094,232440,38271
1024163,-114531,-107439,38545,316951,165526,-114494,226296,-119147,-114548,66149,232397,38311
1024164,-114498,-107408,38556,316996,165526,-114467,226389,-119120,-114522,66187,232405,38319
1024165,-114489,-107387,38588,317036,165577,-114485,226428,-119122,-114537,66202,232458,38353
1024166,-114461,-107384,38583,317031,165658,-114472,226507,-119109,-114523,66244,232574,38350
1024167,-114408,-107371,38609,317030,165722,-114464,226535,-119095,-114516,66240,232683,38371
1024168,-114358,-107347,38613,317106,165714,-114448,226572,-119063,-114501,66215,232750,38380
1024169,-114293,-107313,38635,317178,165649,-114404,226585,-119044,-114460,66198,232754,38399
1024170,-114263,-107288,38655,317185,165584,-114380,226590,-119007,-114433,66266,232755,38419
1024171,-114257,-107286,38668,316985,165506,-114370,226651,-119003,-114424,66328,232772,38434
1024172,-114256,-107287,38661,316854,165368,-114397,226721,-119014,-114449,66371,232784,38426
1024173,-114279,-107293,38616,316770,165241,-114394,226691,-119033,-114447,66373,232792,38382
1024174,-114325,-107308,38536,316710,165196,-114426,226636,-119067,-114479,66345,232837,38300
1024175,-114368,-107313,38493,316696,165316,-114433,226530,-119059,-114485,66288,232725,38257
1024176,-114372,-107337,38431,316733,165550,-114431,226411,-119066,-114486,66236,232428,38198
1024177,-114406,-107343,38442,316843,165708,-114498,226301,-119100,-114551,66143,232269,38206
1024178,-114455,-107375,38458,316873,165748,-114542,226249,-119153,-114597,66053,232360,38223
1024179,-114481,-107396,38465,316924,165724,-114604,226275,-119174,-114656,66007,232377,38231
1024180,-114470,-107413,38514,317040,165650,-114636,226296,-119159,-114690,65982,232355,38281
1024181,-114465,-107411,38544,317105,165649,-114682,226316,-119151,-114734,66005,232387,38309
1024182,-114465,-107402,38539,317034,165694,-114644,226392,-119135,-114697,66056,232418,38301
1024183,-114451,-107366,38558,317083,165716,-114625,226463,-119144,-114675,66068,232430,38322
1024184,-114416,-107334,38577,317118,165754,-114583,226497,-119152,-114634,66139,232369,38342
1024185,-114389,-107309,38580,317143,165753,-114524,226523,-119132,-114578,66202,232427,38346
1024186,-114367,-107312,38580,317164,165763,-114504,226569,-119136,-114557,66198,232619,38346
1024187,-114332,-107286,38599,317169,165779,-114498,226627,-119134,-114554,66189,232809,38363
1024188,-114280,-107288,38618,317145,165806,-114482,226681,-119110,-114536,66245,232833,38383
1024189,-114240,-107253,38648,317174,165831,-114460,226726,-119085,-114511,66282,232844,38411
1024190,-114223,-107238,38667,317197,165833,-114438,226765,-119072,-114490,66279,232822,38431
1024191,-114223,-107239,38678,317207,165782,-114467,226768,-119081,-114519,66252,232856,38442
1024192,-114242,-107250,38693,317223,165773,-114483,226706,-119115,-114534,66210,232835,38458
1024193,-114287,-107258,38696,317208,165807,-114511,226603,-119137,-114563,66133,232774,38461
1024194,-114342,-107290,38661,317139,165838,-114539,226511,-119153,-114589,66083,232771,38427
1024195,-114337,-107305,38663,317103,165823,-114555,226442,-119161,-114607,66028,232687,38427
1024196,-114344,-107291,38658,317068,165765,-114524,226348,-119157,-114579,66016,232544,38428
1024197,-114365,-107306,38618,317056,165711,-114536,226348,-119138,-114589,66027,232331,38384
1024198,-114386,-107317,38562,317012,165620,-114524,226385,-119129,-114578,66058,232315,38326
1024199,-114409,-107322,38557,317020,165492,-114532,226444,-119134,-114586,66069,232310,38321
1024200,-114403,-107339,38517,316985,165396,-114537,226459,-119127,-114591,66109,232402,38280
1024201,-114415,-107334,38519,316903,165430,-114504,226491,-119103,-114557,66104,232509,38281
1024202,-114387,-107309,38539,316873,165411,-114496,226531,-119111,-114546,66102,232577,38304
1024203,-114332,-107282,38581,316915,165376,-114496,226535,-119116,-114547,66077,232659,38346
1024204,-114302,-107254,38612,316903,165450,-114488,226525,-119094,-114540,66151,232643,38377
1024205,-114289,-107243,38616,316895,165472,-114457,226568,-119048,-114513,66194,232660,38382
1024206,-114273,-107224,38617,316933,165435,-114412,226647,-119029,-114468,66215,232780,38381
1024207,-114244,-107214,38601,316932,165457,-114389,226668,-118993,-114443,66260,232892,38364
1024208,-114212,-107199,38627,316982,165490,-114341,226672,-118972,-114392,66322,232921,38394
1024209,-114225,-107200,38668,316967,165609,-114337,226707,-118957,-114390,66397,232933,38432
1024210,-114225,-107210,38693,316945,165683,-114313,226699,-118950,-114365,66435,232903,38458
