timestamp,LAz_angle,LEl_angle,RAz_angle,REl_angle
1032673,0.21131644533124927,-0.27608895791559007,-34.38459497027088,0.6440657735647619
1032674,0.4790040894716867,-0.5781885451431208,-35.84365055803755,2.0224477318724894
1032675,0.3433685673501259,-0.4630959481341961,-37.887587865890964,3.852592032360917
1032676,-0.1994791015079045,-0.26425677008069215,-40.66278416708883,6.033009130141181
1032677,-0.29622807455700695,-0.04715684371581119,-40.9162455800124,6.367988133806648
1032678,-0.04820922439341757,-0.23655011442178875,-40.20212990667733,5.611896621779124
1032679,0.5158857830290344,-0.05775580483623344,-38.190288004582726,4.733312790198397
1032680,0.7330621332201872,-0.04499863854425712,-36.52536643127769,4.252956346298561
1032688,-0.7152384507742227,1.0385999094298768,-32.56293408041802,-0.0909292550468308
1032689,-0.35492307030824577,0.33751788096196833,-31.20163809758924,-0.7370295125392659
1032690,0.19224282318725727,-0.471820287589253,-28.422447106596337,-1.7943347105501743
1032691,0.5088261281889572,-0.6647647018337466,-25.45457640225959,-3.74907524795708
1032692,0.6534875808786182,-0.7954131627679999,-26.30737998591303,-3.503828237677226
1032693,0.019847980853569425,-0.10533342824123793,-28.824231046784007,-2.168902585590331
1032694,-0.4228190460762562,0.5528370423169235,-30.81476119281342,-0.8406704594071925
1032695,0.2515564744821859,0.26221521377601675,-33.19510383484703,0.9416473639230389
1032696,0.8605590863685393,-0.2516885081572582,-37.82333168209061,4.004754014413265
1032697,1.1513879651618026,-0.8665849465010069,-43.57946527220702,7.5533486269450805
1032698,1.2529347330854534,-0.9321197890635631,-44.52509793164336,8.277776765075942
1032699,1.2726700001156814,-0.9202638447034133,-44.84176968776774,8.163954019462835
1032700,1.4449878416647834,-1.3704760448817979,-40.91467789940452,5.43486509507693
1032701,1.3349159433331579,-1.504841507411129,-39.18982314954519,4.488582319246234
1032702,1.21591660911281,-1.026801491027527,-38.70384363594712,4.45950823302428
1032703,0.9611398298341101,-0.4192671810947104,-36.288515469458616,2.831511988432794
1032704,0.709074447814146,0.18344321737254177,-33.241160188405956,0.8191038908844348
1032705,0.08402193274764613,0.6870058124511615,-32.98503963401254,0.030938402410356503
1032706,-0.34581380651331983,1.1114714972341062,-31.81285634372307,-0.5729682815081105
1032707,-0.9951492750166153,1.7501630127528642,-31.14042068404524,-1.1124825540500751
1032708,-0.3206038383552823,1.294797087022289,-28.914998443734476,-2.1005007201029002
1032709,0.5657578806273023,0.17276718796392743,-28.307245199148383,-2.2098699336693244
1032710,0.9877252834459114,-0.4854664370741375,-31.798446272042383,-0.43806532655980845
1032711,0.5358044566918352,-0.39530235448410167,-37.053006525470664,2.1580184286258373
1032712,0.47370172274190736,-0.49831498473827196,-39.5030295188335,3.3538510920998306
1032713,1.0607685905077915,-0.555319435580941,-39.477948049813676,3.873891443273351
1032714,1.2691851694471552,-0.13577954005745596,-37.57742477401098,3.552786180871408
1032715,1.3581529270121564,-0.02411769774585082,-39.474007676438305,4.8560381902962035
1032716,1.7883549637072065,-0.5671786646205419,-41.63434375607085,6.2641006069006835
1032717,2.6274263225113828,-1.4937072884511053,-39.89993331499227,6.033753236803932
1032718,2.909040585414573,-1.6249752290686956,-37.02818823134203,5.1960423901418835
1032719,2.243792298595963,-0.9665400928013241,-36.556493809944186,5.164920466378135
1032720,0.7432660720999138,0.7273799849970146,-38.023199282638416,5.780317745535285
1032721,0.1240255765872007,1.1039743170822476,-38.87982360453407,6.48327552587034
1032722,-0.19959655743241456,1.2150625753702116,-37.94550745115794,5.859848688566672
1032723,-0.9900595994650985,2.3244588310594736,-35.75844343107747,3.6117341139743075
1032724,-1.4384664030698104,2.8960641715282236,-33.39456190007513,1.5662802729220857
1032725,-0.04480496006692647,1.277268415846038,-29.928220919233354,-0.33948978271746455
1032726,1.2060658303928449,-0.24623441523317524,-28.88491531834643,-0.5657352455527871
1032727,1.7102728104131302,-1.1889057538662655,-32.938013957521434,1.5461326670038034
1032728,1.2769908568501478,-1.1721655490327976,-37.748027532924425,3.552183707124641
1032729,1.1655973330599636,-0.9004136675075642,-40.35211229063043,4.771414109667603
1032730,0.8414097793439623,-0.08897522381721501,-36.907730357763285,2.798709575356952
1032731,1.1305285738433213,-0.41638512346412426,-31.40014660713132,-0.3762618434348042
1032732,1.5121407052720315,-1.033862097365045,-29.106538502624062,-1.5907985757530696
1032733,1.5577928172768907,-0.9452527213397843,-29.684073876299408,-0.7590019869367097
1032734,1.7042060733743938,-0.8077994020434289,-29.803971223152075,-0.2534865215575337
1032735,1.9781655593925507,-0.6264102930690569,-30.248589189902304,0.3610746350550471
1032736,2.2683234000846824,-0.5889505917195947,-32.5875736840153,1.890956548205395
1032737,2.2543824651739897,-0.36284608210030456,-35.232253574612514,3.8842563002808674
1032738,2.660111583660637,-0.3516609786365734,-35.86499151798671,4.7414425859897165
1032739,2.380541929986066,-0.23915305671857823,-38.21821868513689,6.392232145660273
1032740,2.418017269991765,-0.4049047053781578,-39.007179131812336,6.816654666977229
1032741,2.1513984499691787,-0.4166781791032008,-38.22756650187057,5.958463982195099
1032742,1.9731641048944084,-0.38337714804197276,-36.783642828777374,4.396954282373372
1032743,2.0051097827515605,-0.6271715929065067,-34.838840017873736,3.0053464207203433
1032744,1.7034382623767215,-0.47373841628768787,-32.67357901839114,1.8054031939436754
1032745,1.5045351476391033,0.07615181711048535,-29.90882759372107,0.5766203278662942
1032746,1.1547183438866568,0.6813693080691792,-28.371766584956276,-0.013040525879659981
1032747,0.8518184171546181,1.346634090393536,-27.790441221329274,-0.43507917044644273
