Timestamp (ms),Ch0 (uV),Ch1 (uV),Ch2 (uV),Ch3 (uV),Ch4 (uV),Ch5 (uV),Ch6 (uV),Ch7 (uV),Ch8 (uV),Ch9 (uV),Ch10 (uV),Ch11 (uV)
997981,-115498,-108336,39243,314964,164688,-115818,226032,-120098,-115872,66496,232272,39009
997982,-115492,-108308,39227,315062,164562,-115854,226008,-120089,-115908,66498,232290,38991
997983,-115461,-108293,39196,315209,164579,-115862,225896,-120064,-115913,66477,232301,38964
997984,-115445,-108278,39149,315295,164740,-115829,225787,-120037,-115881,66452,232278,38914
997985,-115457,-108262,39198,315367,164702,-115781,225810,-120000,-115831,66502,232301,38966
997986,-115470,-108288,39253,315295,164849,-115753,225913,-119981,-115803,66497,232322,39019
997987,-115489,-108302,39255,315249,164997,-115730,226011,-119993,-115783,66543,232389,39020
997988,-115475,-108304,39255,315347,165066,-115699,226078,-120052,-115752,66590,232437,39022
997993,-115383,-108212,39234,315409,165313,-115695,226305,-120049,-115749,66647,232469,38999
997994,-115386,-108209,39281,315448,165283,-115726,226247,-120055,-115776,66568,232416,39048
997996,-115435,-108256,39347,315371,165234,-115751,226082,-120084,-115804,66478,232132,39113
997997,-115444,-108277,39349,315363,165179,-115772,226076,-120068,-115823,66388,232043,39114
997999,-115512,-108317,39263,315368,164926,-115843,226021,-120110,-115895,66293,232205,39033
998000,-115531,-108330,39209,315266,164762,-115826,226020,-120123,-115879,66372,232305,38970
998001,-115537,-108343,39189,315168,164719,-115800,225980,-120120,-115854,66383,232355,38953
998002,-115529,-108346,39138,315240,164740,-115758,225884,-120105,-115811,66432,232268,38903
998003,-115489,-108312,39038,315284,164716,-115749,225819,-120057,-115800,66486,232253,38803
998004,-115466,-108264,38979,315303,164688,-115814,225859,-120025,-115867,66534,232384,38745
998005,-115491,-108282,39051,315334,164770,-115826,225937,-120009,-115876,66560,232422,38818
998006,-115477,-108274,39144,315365,164800,-115847,226067,-119982,-115901,66574,232322,38908
998007,-115455,-108277,39281,315324,164773,-115798,226099,-119994,-115852,66599,232358,39044
998008,-115401,-108247,39343,315305,164722,-115724,226106,-119987,-115776,66646,232476,39110
998009,-115362,-108237,39309,315297,164819,-115671,226112,-120011,-115724,66678,232632,39073
998010,-115321,-108217,39221,315288,164937,-115594,226125,-119966,-115650,66732,232605,38986
998011,-115299,-108209,39176,315295,164969,-115559,226158,-119919,-115611,66804,232535,38940
998012,-115285,-108200,39246,315382,164988,-115551,226125,-119915,-115606,66772,232558,39011
998013,-115320,-108228,39333,315381,165035,-115566,226150,-119926,-115619,66679,232477,39099
998014,-115369,-108286,39377,315299,165186,-115612,226194,-120016,-115664,66669,232409,39147
998015,-115430,-108302,39371,315315,165243,-115666,226188,-120084,-115720,66625,232293,39137
998016,-115464,-108328,39297,315343,165221,-115718,226162,-120135,-115773,66495,232349,39066
998017,-115483,-108342,39228,315346,165148,-115739,226168,-120167,-115790,66455,232408,38997
998018,-115510,-108369,39176,315270,165106,-115759,226113,-120180,-115814,66478,232403,38944
998019,-115516,-108386,39174,315226,165057,-115774,226059,-120151,-115827,66462,232328,38942
998020,-115507,-108386,39153,315246,165033,-115788,226048,-120128,-115841,66478,232188,38918
998021,-115504,-108387,39131,315274,164978,-115775,226056,-120083,-115827,66482,231996,38897
998022,-115498,-108366,39145,315291,164859,-115761,226081,-120070,-115816,66410,232055,38909
998023,-115490,-108360,39181,315265,164750,-115751,226091,-120075,-115805,66366,232293,38948
998024,-115496,-108366,39162,315153,164739,-115702,226082,-120035,-115756,66466,232435,38928
998025,-115467,-108353,39140,315083,164730,-115663,226148,-120013,-115714,66549,232511,38908
998026,-115449,-108343,39127,315061,164802,-115697,226208,-119967,-115752,66584,232619,38892
998027,-115417,-108349,39160,315122,164876,-115731,226219,-119970,-115787,66552,232698,38927
998028,-115385,-108329,39175,315183,164954,-115705,226222,-119942,-115758,66600,232737,38942
998029,-115373,-108302,39207,315194,165091,-115653,226213,-119899,-115710,66657,232772,38973
998030,-115348,-108279,39241,315260,165006,-115625,226226,-119866,-115677,66713,232806,39008
998031,-115314,-108261,39317,315367,164906,-115612,226267,-119817,-115668,66735,232782,39082
998032,-115275,-108218,39370,315361,164943,-115605,226298,-119788,-115660,66734,232585,39132
998033,-115225,-108205,39393,315336,165057,-115607,226244,-119795,-115662,66652,232440,39159
998034,-115200,-108174,39392,315368,165089,-115611,226194,-119830,-115664,66586,232280,39155
998035,-115208,-108194,39390,315368,164972,-115629,226207,-119870,-115680,66602,232036,39156
998036,-115263,-108221,39367,315346,164979,-115638,226169,-119922,-115692,66613,231919,39132
998037,-115328,-108225,39269,315409,165010,-115658,226169,-119948,-115709,66518,231890,39036
998038,-115396,-108256,39151,315380,165076,-115696,226144,-119972,-115752,66474,231990,38918
998039,-115445,-108304,39085,315335,165072,-115703,226135,-120023,-115757,66429,232169,38852
998040,-115490,-108360,39080,315309,164804,-115683,226160,-120049,-115735,66493,232360,38846
998041,-115491,-108367,39125,315245,164706,-115693,226145,-120033,-115748,66602,232260,38889
998042,-115496,-108389,39138,315232,164653,-115703,226162,-120005,-115757,66664,232272,38904
998043,-115495,-108411,39162,315235,164746,-115779,226158,-120005,-115831,66626,232483,38929
998044,-115477,-108399,39223,315333,164865,-115861,226129,-120028,-115914,66522,232647,38990
998045,-115469,-108382,39286,315285,164972,-115832,226087,-120018,-115882,66522,232763,39055
998046,-115435,-108355,39331,315272,165096,-115777,226074,-119989,-115830,66554,232790,39098
