Timestamp (ms),Ch0 (uV),Ch1 (uV),Ch2 (uV),Ch3 (uV),Ch4 (uV),Ch5 (uV),Ch6 (uV),Ch7 (uV),Ch8 (uV),Ch9 (uV),Ch10 (uV),Ch11 (uV)
1004258,-115048,-108848,37805,314126,165398,-114313,226417,-118619,-114367,67778,232521,37570
1004259,-115040,-108849,37773,314113,165427,-114291,226386,-118619,-114346,67743,232504,37537
1004260,-115017,-108854,37739,314128,165407,-114293,226424,-118627,-114347,67682,232467,37504
1004261,-115046,-108841,37708,314111,165355,-114256,226464,-118619,-114311,67689,232517,37473
1004262,-115095,-108829,37737,314150,165385,-114236,226458,-118619,-114290,67704,232564,37503
1004263,-115094,-108806,37767,314193,165508,-114224,226469,-118610,-114276,67759,232523,37531
1004264,-115054,-108787,37831,314238,165568,-114198,226479,-118599,-114251,67804,232448,37594
1004265,-114991,-108783,37884,314276,165616,-114192,226515,-118595,-114245,67815,232501,37648
1004272,-114793,-108644,38003,314294,165610,-114184,226851,-118492,-114238,68025,232803,37771
1004273,-114715,-108641,37955,314247,165584,-114212,226788,-118486,-114268,67993,232653,37719
1004274,-114712,-108643,37921,314276,165529,-114218,226646,-118461,-114270,67982,232445,37686
1004275,-114753,-108657,37883,314291,165492,-114218,226532,-118495,-114273,67933,232422,37650
1004276,-114815,-108686,37902,314379,165436,-114226,226458,-118526,-114282,67804,232468,37669
1004277,-114866,-108714,37901,314418,165408,-114250,226447,-118580,-114305,67786,232471,37665
1004278,-114891,-108770,37805,314301,165495,-114238,226460,-118606,-114290,67791,232465,37570
1004279,-114926,-108785,37766,314192,165383,-114220,226491,-118609,-114272,67829,232569,37532
1004280,-114930,-108780,37769,314174,165381,-114267,226504,-118625,-114321,67779,232602,37534
1004281,-114918,-108791,37774,314170,165343,-114276,226520,-118616,-114328,67830,232674,37541
1004282,-114906,-108788,37787,314180,165252,-114261,226555,-118592,-114316,67845,232780,37553
1004283,-114907,-108763,37813,314253,165129,-114212,226610,-118550,-114264,67872,232754,37577
1004284,-114877,-108751,37871,314272,165163,-114220,226666,-118518,-114274,67895,232714,37637
1004285,-114847,-108721,37865,314263,165377,-114222,226696,-118507,-114277,67951,232627,37629
1004286,-114822,-108717,37865,314272,165638,-114224,226736,-118523,-114279,67917,232549,37632
1004287,-114749,-108665,37928,314369,165672,-114187,226790,-118547,-114241,67808,232617,37692
1004288,-114737,-108633,37989,314466,165733,-114173,226770,-118544,-114225,67781,232738,37757
1004289,-114728,-108603,37976,314455,165669,-114128,226755,-118494,-114181,67892,232850,37739
1004290,-114737,-108608,37947,314477,165763,-114123,226712,-118469,-114176,67943,232969,37714
1004291,-114753,-108607,37935,314509,165885,-114132,226743,-118443,-114187,67901,232918,37702
1004292,-114772,-108639,37948,314472,165959,-114142,226752,-118448,-114197,67887,232904,37713
1004293,-114815,-108678,37943,314412,165945,-114127,226720,-118473,-114179,67880,232861,37708
1004294,-114827,-108665,37963,314360,165897,-114150,226684,-118497,-114203,67883,232698,37730
1004295,-114811,-108681,37965,314332,165771,-114189,226629,-118539,-114242,67932,232551,37729
1004296,-114804,-108659,37966,314316,165635,-114218,226603,-118544,-114272,67914,232552,37729
1004297,-114831,-108690,37934,314301,165572,-114263,226610,-118552,-114315,67859,232486,37698
1004298,-114866,-108711,37879,314220,165526,-114226,226701,-118507,-114280,67901,232312,37645
1004299,-114886,-108731,37854,314103,165522,-114214,226761,-118493,-114267,67905,232257,37620
1004300,-114917,-108738,37838,314058,165440,-114222,226717,-118535,-114272,67836,232527,37602
1004301,-114895,-108716,37851,314158,165423,-114219,226627,-118569,-114269,67781,232640,37620
1004302,-114901,-108708,37845,314235,165479,-114228,226586,-118555,-114279,67759,232695,37612
1004303,-114920,-108699,37822,314203,165562,-114188,226618,-118537,-114238,67728,232744,37587
1004304,-114874,-108671,37838,314260,165693,-114182,226656,-118554,-114235,67704,232687,37603
1004305,-114806,-108656,37881,314357,165761,-114198,226648,-118537,-114252,67766,232640,37648
1004306,-114780,-108646,37903,314360,165656,-114167,226634,-118512,-114221,67905,232675,37667
