Timestamp (ms),Ch0 (uV),Ch1 (uV),Ch2 (uV),Ch3 (uV),Ch4 (uV),Ch5 (uV),Ch6 (uV),Ch7 (uV),Ch8 (uV),Ch9 (uV),Ch10 (uV),Ch11 (uV)
1021921,-115208,-107491,39270,317775,166277,-114154,225469,-119229,-114207,67054,233079,39036
1021922,-115202,-107490,39287,317779,166342,-114172,225503,-119236,-114225,67031,233144,39051
1021923,-115177,-107465,39315,317851,166280,-114162,225521,-119242,-114215,67045,233243,39078
1021924,-115152,-107452,39292,317841,166273,-114103,225589,-119251,-114156,67088,233377,39057
1021925,-115139,-107452,39277,317808,166360,-114068,225627,-119239,-114119,67123,233449,39045
1021926,-115092,-107433,39291,317839,166522,-114043,225663,-119213,-114101,67158,233420,39060
1021927,-115039,-107412,39335,317901,166644,-114031,225687,-119203,-114085,67180,233346,39100
1021928,-115057,-107387,39358,317999,166747,-114018,225704,-119190,-114072,67206,233315,39120
1021936,-115126,-107474,39291,317884,166196,-114144,225658,-119267,-114195,67084,233392,39058
1021938,-115107,-107499,39301,317828,166102,-114155,225493,-119247,-114212,67054,233340,39065
1021939,-115119,-107508,39319,317820,166069,-114119,225436,-119231,-114175,67112,233208,39084
1021940,-115109,-107499,39329,317868,166080,-114063,225421,-119198,-114116,67098,233004,39094
1021941,-115107,-107481,39331,317844,166201,-114020,225428,-119187,-114074,66991,233070,39097
1021942,-115140,-107483,39299,317825,166317,-114022,225435,-119213,-114076,66965,233290,39063
1021943,-115143,-107476,39305,317897,166347,-114035,225490,-119195,-114085,67014,233317,39072
1021944,-115152,-107451,39290,317991,166391,-114046,225526,-119176,-114101,67068,233357,39056
1021945,-115138,-107465,39319,318049,166506,-114067,225490,-119181,-114117,67124,233382,39085
1021946,-115136,-107433,39348,318043,166645,-114072,225489,-119169,-114125,67178,233514,39117
1021947,-115113,-107412,39376,318098,166730,-114043,225562,-119170,-114098,67180,233516,39144
1021948,-115054,-107374,39368,318135,166764,-114025,225699,-119170,-114080,67219,233428,39135
1021949,-115017,-107373,39351,318171,166794,-113996,225772,-119166,-114049,67245,233438,39116
1021950,-115013,-107371,39355,318154,166750,-113979,225787,-119168,-114032,67266,233476,39121
1021951,-115025,-107376,39330,318108,166732,-113973,225807,-119174,-114027,67225,233498,39095
1021952,-115071,-107387,39326,318087,166707,-113992,225808,-119171,-114045,67231,233483,39092
1021953,-115103,-107418,39319,318049,166653,-114023,225774,-119187,-114075,67198,233398,39085
1021954,-115130,-107448,39304,318064,166496,-114018,225693,-119214,-114070,67170,233351,39072
1021955,-115111,-107448,39306,318074,166420,-114037,225617,-119234,-114090,67056,233353,39070
1021956,-115116,-107469,39285,318011,166374,-114053,225582,-119227,-114107,66992,233294,39052
1021957,-115112,-107509,39259,317988,166351,-114080,225558,-119252,-114129,67023,233212,39027
1021958,-115097,-107484,39228,317971,166313,-114090,225491,-119248,-114142,67043,233128,38996
1021959,-115082,-107472,39202,317858,166444,-114120,225403,-119260,-114174,67007,233110,38969
1021960,-115073,-107465,39157,317823,166492,-114109,225373,-119233,-114162,67002,233097,38924
1021961,-115044,-107442,39172,317802,166364,-114078,225433,-119189,-114132,67074,233049,38936
1021962,-115035,-107420,39209,317817,166150,-114036,225533,-119147,-114089,67126,233038,38974
1021963,-115050,-107429,39253,317792,166180,-113997,225592,-119117,-114052,67131,233067,39017
1021964,-115046,-107450,39259,317761,166289,-114001,225663,-119129,-114054,67173,233176,39024
1021965,-115017,-107441,39314,317823,166249,-114005,225726,-119143,-114056,67206,233209,39078
1021966,-114966,-107408,39350,317837,166271,-113995,225729,-119126,-114046,67216,233376,39119
1021967,-114945,-107420,39337,317866,166304,-113983,225756,-119097,-114035,67254,233492,39106
1021968,-114923,-107402,39334,317959,166485,-114010,225800,-119107,-114061,67241,233474,39102
1021969,-114927,-107393,39346,318015,166675,-114015,225820,-119118,-114068,67221,233448,39111
1021970,-114934,-107381,39346,318079,166801,-114040,225818,-119139,-114094,67172,233452,39111
1021971,-114945,-107396,39340,318089,166842,-114089,225853,-119164,-114141,67082,233468,39107
1021972,-114967,-107414,39334,318066,166909,-114107,225836,-119217,-114157,67043,233386,39103
