timestamp,LAz_angle,LEl_angle,RAz_angle,REl_angle
1032673,0.21218577386796722,-0.277224752195172,-34.526048748675535,0.6467153768912127
1032674,0.20239139760061453,-0.2466312790751149,-34.498367826650934,0.8511841888146797
1032675,0.19338891133916286,-0.2172529178136012,-34.47293655685028,1.0512972858519212
1032676,0.18595697195671038,-0.19026218137362483,-34.45194228207099,1.2428701201868477
1032677,0.1808474772007405,-0.16674733144853174,-34.43744960808243,1.4220536367137198
1032678,0.1787707953015879,-0.147672511736665,-34.43134444690228,1.5854850073174853
1032679,0.18038015584164172,-0.1338407213855396,-34.43528259722015,1.7304178227160305
1032680,0.18625477315397207,-0.1258609592662172,-34.45064578127404,1.8548270164949932
1032688,0.19688185678284054,-0.12411983728562562,-34.47850482343605,1.9574834260340677
1032689,0.21263843823366085,-0.12875978512471353,-34.519593345425655,2.0379970870486934
1032690,0.233772250198416,-0.13966325641397284,-34.574288726241114,2.0968229226165334
1032691,0.2603845269600764,-0.156445885188829,-34.642604530469235,2.135233780448276
1032692,0.2924143826526482,-0.17845799169018497,-34.72419088398533,2.1552580930557506
1032693,0.32962667434665416,-0.20479567795617235,-34.81834367849047,2.159585957460336
1032694,0.37160421574636326,-0.23432186744576872,-34.92402287567291,2.1514480628936155
1032695,0.4177458371891193,-0.265697392729361,-35.039878017693574,2.13447201724147
1032696,0.46727115471758174,-0.2974218202385038,-35.164280747973514,2.112522645950421
1032697,0.5192332877300266,-0.3278836286566667,-35.295362377152806,2.0895323566731943
1032698,0.5725396271230916,-0.35541811719097727,-35.43105670427526,2.0693298495579193
1032699,0.6259810837204312,-0.37837217470401313,-35.569148329471126,2.0554749665278105
1032700,0.678269265860179,-0.3951730837698268,-35.707322156276895,2.0511056049281255
1032701,0.7280808139761173,-0.4043991463299545,-35.84321719829504,2.058805278624097
1032702,0.7741079512629199,-0.40484989680540767,-35.974479818378654,2.080495049355145
1032703,0.8151128143280137,-0.39561202428681874,-36.09881885532885,2.117356951119166
1032704,0.8499839290133179,-0.37611820900142995,-36.21406071580205,2.1697914694577323
1032705,0.8777920786977493,-0.34619564054801877,-36.31820096069928,2.2374096065869384
1032706,0.8978430041536496,-0.306101483412302,-36.40945331113627,2.3190611189317965
1032707,0.9097236171361999,-0.2565421128877464,-36.48629450688269,2.4128968733671226
1032708,0.9133397927777337,-0.19867461354037458,-36.54750243737285,2.5164622372254564
1032709,0.9089422279521616,-0.13408828385061286,-36.59218619968819,2.6268161972356365
1032710,0.8971392741472458,-0.06476618977635165,-36.6198053658219,2.740670143665416
1032711,0.8788942322762644,0.006973120683243087,-36.630179632698926,2.8545404213906864
1032712,0.8555067773211921,0.07855287221599533,-36.623484734238,2.964905692123711
1032713,0.8285774286037819,0.14723230602305878,-36.600235743953284,3.0683622595970634
1032714,0.7999563661783858,0.21021413881650067,-36.56125589169988,3.1617687831855705
1032715,0.7716780049858105,0.2647615749362806,-36.507632714301494,3.242374631230993
1032716,0.7458828233202857,0.3083204293911702,-36.440660767449735,3.3079243406316037
1032717,0.724729909322184,0.3386407712790736,-36.361775110881325,3.3567350443460455
1032718,0.7103036964429578,0.35389228644270154,-36.27247802342615,3.3877433697368122
1032719,0.7045188780893884,0.35276825346828744,-36.174259652249646,3.4005193699272045
1032720,0.7090279510894141,0.33457219312279307,-36.068519825293365,3.395249497872941
1032721,0.7251356673279564,0.2992822430540639,-35.95649401561862,3.3726897300789647
1032722,0.7537245344818609,0.24758967910155402,-35.83918965396614,3.33409377698328
1032723,0.795196129421719,0.18090720179777026,-35.71733617939249,3.2811211595317373
1032724,0.8494309148780925,0.1013457867793519,-35.59135293319644,3.215731026176269
1032725,0.915769408505395,0.01165955125471292,-35.46133936090357,3.1400690221574616
1032726,0.9930161164567008,-0.08484021910137311,-35.32709001899577,3.0563547653029723
1032727,1.0794678666535973,-0.18440060271053468,-35.188134531112155,2.9667760915670924
1032728,1.1729651200224815,-0.2829668129899031,-35.043802332619876,2.873396462954923
1032729,1.2709650144836862,-0.3763415322010765,-34.89331246441041,2.7780818604860755
1032730,1.37063314836217,-0.46035698276486414,-34.73588091747753,2.682448536156458
1032731,1.4689513323027983,-0.5310529597884208,-34.57084321655622,2.587835927480864
1032732,1.5628354176189498,-0.5848518512827997,-34.39778334849926,2.4953034390484574
1032733,1.6492592946736846,-0.6187237644358293,-34.21666119083726,2.4056497492841413
1032734,1.7253787285698827,-0.6303329162228906,-34.027930952080446,2.3194520136562904
1032735,1.7886493436404332,-0.6181578280075858,-33.8326409248692,2.2371200975257413
1032736,1.8369336530200304,-0.5815796437852099,-33.63250686602348,2.1589604586230773
1032737,1.8685917077211602,-0.5209330101119294,-33.4299475707997,2.085240939657807
1032738,1.8825509603150472,-0.43751641506097155,-33.228080904144385,2.016252614982291
1032739,1.8783517733649804,-0.33356007898582457,-33.03067502899453,1.952361449750238
1032740,1.856166664160402,-0.21215209523158016,-32.842049317107154,1.8940421953248376
1032741,1.8167914815068433,-0.0771251878162098,-32.666931478588744,1.8418929792544687
1032742,1.7616095543885106,0.06709148815662705,-32.51027124342995,1.796626067297427
1032743,1.6925297129217496,0.21564937537756096,-32.37701844510054,1.7590339828349912
1032744,1.6119012674775721,0.36347897897188924,-32.27187530916389,1.7299322282223304
1032745,1.5224101777303112,0.5055002083265798,-32.19903465656704,1.7100817226560174
1032746,1.4269607698833147,0.636835876805109,-32.16191809013496,1.7000958505262949
1032747,1.3285491585259226,0.7530177988575462,-32.162929924654705,1.7003392171265188
