Timestamp (ms),Ch0 (uV),Ch1 (uV),Ch2 (uV),Ch3 (uV),Ch4 (uV),Ch5 (uV),Ch6 (uV),Ch7 (uV),Ch8 (uV),Ch9 (uV),Ch10 (uV),Ch11 (uV)
1016191,-114894,-106647,39571,318423,165379,-115663,226478,-120390,-115715,64771,232406,39337
1016192,-114908,-106659,39532,318430,165311,-115693,226400,-120413,-115745,64718,232409,39298
1016193,-114942,-106673,39532,318388,165295,-115701,226317,-120409,-115752,64674,232330,39296
1016194,-114963,-106673,39539,318391,165264,-115708,226125,-120409,-115761,64635,232322,39301
1016195,-114993,-106685,39527,318363,165244,-115749,226069,-120453,-115805,64574,232384,39291
1016196,-115034,-106717,39501,318274,165153,-115759,226133,-120476,-115813,64554,232432,39266
1016197,-115085,-106734,39480,318244,165084,-115751,226145,-120466,-115804,64593,232412,39244
1016198,-115101,-106741,39449,318245,165019,-115761,226119,-120463,-115816,64595,232433,39215
1016199,-115118,-106734,39434,318227,164949,-115762,226145,-120460,-115815,64566,232518,39203
1016205,-115014,-106681,39585,318348,165261,-115703,226438,-120390,-115754,64545,232734,39352
1016208,-114901,-106605,39653,318483,165315,-115587,226573,-120323,-115640,64762,232610,39415
1016209,-114892,-106600,39675,318451,165361,-115606,226576,-120339,-115661,64799,232656,39436
1016210,-114885,-106607,39680,318422,165336,-115652,226612,-120310,-115706,64799,232658,39445
1016211,-114905,-106625,39616,318419,165345,-115695,226600,-120322,-115751,64771,232619,39381
1016212,-114898,-106635,39588,318416,165376,-115740,226587,-120327,-115792,64730,232442,39352
1016213,-114924,-106657,39553,318368,165337,-115777,226559,-120344,-115829,64689,232350,39319
1016214,-114933,-106680,39534,318318,165211,-115829,226523,-120358,-115880,64666,232397,39301
1016215,-114980,-106695,39504,318248,165156,-115837,226492,-120371,-115890,64650,232376,39268
1016216,-115045,-106726,39523,318173,165233,-115804,226415,-120405,-115859,64654,232280,39286
1016217,-115129,-106760,39495,318108,165291,-115759,226348,-120427,-115815,64700,232325,39258
1016218,-115165,-106792,39470,318156,165247,-115780,226284,-120473,-115833,64645,232478,39232
1016219,-115169,-106784,39420,318215,165228,-115767,226244,-120497,-115820,64617,232554,39186
1016220,-115134,-106762,39391,318248,165148,-115740,226249,-120484,-115793,64697,232546,39156
1016221,-115087,-106753,39379,318274,165146,-115702,226271,-120472,-115758,64703,232581,39148
1016222,-115059,-106751,39432,318297,165196,-115675,226260,-120479,-115726,64671,232668,39196
1016223,-115067,-106737,39479,318290,165240,-115627,226282,-120438,-115679,64710,232680,39246
1016224,-115066,-106755,39535,318328,165265,-115579,226284,-120413,-115631,64743,232713,39303
1016225,-115045,-106753,39569,318385,165355,-115557,226281,-120387,-115610,64764,232731,39333
1016226,-115017,-106722,39566,318399,165386,-115493,226335,-120328,-115546,64823,232693,39331
1016227,-114963,-106697,39615,318400,165336,-115467,226409,-120307,-115520,64892,232686,39381
1016228,-114907,-106665,39653,318432,165299,-115459,226412,-120298,-115515,64936,232711,39419
1016229,-114895,-106648,39691,318475,165282,-115451,226415,-120269,-115501,64925,232687,39456
1016230,-114887,-106669,39675,318441,165284,-115488,226480,-120291,-115542,64908,232737,39442
1016231,-114921,-106687,39642,318449,165306,-115531,226494,-120332,-115586,64840,232749,39407
1016232,-114958,-106738,39608,318431,165381,-115582,226469,-120357,-115636,64721,232730,39374
1016233,-114994,-106739,39575,318391,165387,-115630,226436,-120399,-115684,64606,232653,39340
1016234,-115014,-106740,39558,318373,165378,-115677,226417,-120441,-115730,64566,232577,39322
1016235,-115022,-106753,39533,318274,165327,-115693,226397,-120459,-115745,64573,232579,39301
1016236,-115047,-106763,39531,318225,165020,-115668,226408,-120443,-115721,64617,232545,39297
1016237,-115047,-106768,39539,318210,164858,-115638,226405,-120446,-115693,64659,232471,39302
1016238,-115059,-106800,39535,318138,164869,-115643,226392,-120440,-115697,64641,232428,39299
1016239,-115067,-106787,39508,318113,164925,-115644,226356,-120423,-115696,64623,232470,39272
1016240,-115067,-106791,39526,318159,164990,-115696,226323,-120415,-115749,64563,232579,39291
1016241,-115051,-106768,39548,318202,165027,-115764,226311,-120375,-115818,64566,232623,39311
1016242,-115020,-106743,39566,318204,165046,-115817,226384,-120364,-115869,64569,232633,39330
1016243,-114993,-106724,39594,318238,165128,-115785,226455,-120341,-115839,64576,232582,39359
1016244,-114963,-106704,39613,318236,165260,-115722,226458,-120325,-115772,64577,232535,39377
1016245,-114925,-106669,39651,318321,165349,-115665,226423,-120344,-115720,64559,232545,39415
1016246,-114905,-106648,39660,318403,165365,-115602,226355,-120353,-115653,64660,232654,39424
1016247,-114892,-106636,39672,318472,165368,-115554,226346,-120349,-115606,64752,232663,39440
1016248,-114854,-106620,39713,318515,165363,-115534,226436,-120308,-115585,64870,232550,39473
