Timestamp (ms),Ch0 (uV),Ch1 (uV),Ch2 (uV),Ch3 (uV),Ch4 (uV),Ch5 (uV),Ch6 (uV),Ch7 (uV),Ch8 (uV),Ch9 (uV),Ch10 (uV),Ch11 (uV)
1013422,-115310,-108490,37456,315489,166698,-113413,225853,-118828,-113466,68869,232919,37223
1013423,-115300,-108473,37486,315516,166714,-113437,225892,-118786,-113489,68961,232967,37252
1013424,-115283,-108469,37497,315504,166655,-113417,225956,-118765,-113469,69024,233073,37263
1013425,-115259,-108449,37517,315510,166558,-113350,226035,-118726,-113402,69090,233168,37284
1013426,-115227,-108428,37540,315581,166460,-113269,226103,-118684,-113319,69190,233200,37308
1013427,-115185,-108393,37486,315616,166472,-113188,226184,-118643,-113242,69122,233228,37252
1013428,-115142,-108370,37492,315746,166586,-113127,226233,-118637,-113180,69018,233230,37258
1013429,-115129,-108348,37543,315859,166533,-113105,226249,-118659,-113160,68960,233234,37308
1013434,-115293,-108421,37515,315538,166265,-113148,226026,-118721,-113199,69076,233276,37282
1013437,-115320,-108485,37398,315512,166525,-113211,225964,-118775,-113261,69072,232930,37164
1013438,-115335,-108515,37351,315507,166551,-113244,225942,-118773,-113295,69037,232973,37114
1013439,-115312,-108513,37342,315566,166549,-113270,225912,-118789,-113323,69034,232956,37108
1013440,-115323,-108524,37369,315616,166552,-113267,225921,-118795,-113321,69068,232973,37135
1013441,-115295,-108512,37423,315619,166609,-113244,225984,-118770,-113297,69100,232843,37189
1013442,-115250,-108473,37507,315658,166605,-113207,226027,-118715,-113257,69136,232668,37274
1013443,-115225,-108450,37583,315688,166557,-113186,226079,-118693,-113239,69162,232676,37350
1013444,-115223,-108444,37604,315685,166550,-113210,226094,-118661,-113263,69152,232924,37369
1013445,-115208,-108425,37623,315623,166697,-113213,226069,-118665,-113265,69184,233141,37391
1013446,-115166,-108394,37637,315576,166805,-113216,226092,-118638,-113269,69218,233287,37400
1013447,-115130,-108369,37652,315657,166763,-113187,226128,-118604,-113241,69229,233305,37419
1013448,-115087,-108338,37672,315763,166757,-113113,226176,-118553,-113166,69283,233103,37440
1013449,-115082,-108330,37683,315821,166764,-113063,226168,-118548,-113114,69286,233078,37447
1013450,-115098,-108335,37701,315755,166772,-113044,226138,-118570,-113096,69213,233280,37467
1013451,-115103,-108351,37683,315657,166769,-113040,226057,-118582,-113089,69178,233372,37448
1013452,-115137,-108373,37647,315636,166709,-113055,225955,-118597,-113105,69214,233331,37414
1013453,-115193,-108409,37614,315683,166598,-113074,225863,-118603,-113129,69273,233237,37379
1013454,-115227,-108416,37591,315688,166558,-113070,225849,-118612,-113126,69267,233111,37352
1013455,-115267,-108439,37556,315709,166609,-113107,225877,-118657,-113160,69218,233066,37318
1013456,-115313,-108451,37505,315706,166604,-113121,225838,-118710,-113173,69137,233073,37268
1013457,-115323,-108466,37463,315700,166583,-113151,225866,-118736,-113203,69031,233187,37231
1013458,-115330,-108472,37401,315660,166554,-113175,225884,-118735,-113227,69007,233191,37168
1013459,-115318,-108472,37389,315627,166571,-113223,225891,-118702,-113275,69028,233169,37153
1013460,-115303,-108460,37426,315650,166544,-113332,225908,-118676,-113384,69051,233191,37190
1013461,-115291,-108461,37502,315592,166493,-113348,225939,-118653,-113404,69128,233237,37267
1013462,-115271,-108430,37577,315565,166418,-113289,226006,-118612,-113345,69161,233262,37340
1013463,-115214,-108401,37623,315556,166269,-113144,226084,-118570,-113201,69188,233214,37390
1013464,-115183,-108371,37629,315564,166295,-113078,226166,-118566,-113133,69224,233160,37394
1013465,-115144,-108366,37632,315603,166350,-113011,226232,-118578,-113062,69230,233163,37395
1013466,-115123,-108333,37641,315666,166408,-112928,226330,-118535,-112982,69249,233056,37408
1013467,-115094,-108293,37698,315750,166385,-112914,226385,-118471,-112969,69249,232923,37461
1013468,-115045,-108262,37738,315799,166555,-112978,226336,-118442,-113033,69276,232898,37502
1013469,-115036,-108260,37737,315805,166695,-113031,226299,-118457,-113084,69232,233009,37503
1013470,-115020,-108236,37762,315839,166777,-113114,226280,-118522,-113165,69121,233098,37523
1013471,-115051,-108245,37716,315797,166696,-113099,226271,-118533,-113152,69126,233113,37480
1013472,-115095,-108279,37586,315710,166645,-113046,226237,-118517,-113098,69186,233030,37349
1013473,-115119,-108312,37514,315652,166655,-113013,226171,-118532,-113067,69179,232929,37279
1013474,-115159,-108343,37515,315603,166589,-113042,226140,-118576,-113096,69156,232933,37282
1013475,-115209,-108382,37536,315603,166572,-113105,226071,-118624,-113158,69097,232976,37300
1013476,-115215,-108416,37555,315612,166459,-113150,226007,-118656,-113204,69061,233033,37322
1013477,-115239,-108428,37598,315619,166351,-113165,225972,-118671,-113219,69087,233036,37363
1013478,-115274,-108455,37585,315586,166329,-113174,225955,-118662,-113228,69096,232987,37350
1013479,-115277,-108458,37540,315474,166364,-113170,225992,-118635,-113220,69115,233009,37307
1013480,-115246,-108452,37540,315454,166344,-113164,226002,-118635,-113216,69088,233145,37306
1013481,-115217,-108446,37561,315453,166364,-113142,226073,-118617,-113194,69056,233138,37327
1013482,-115211,-108423,37600,315493,166384,-113130,226116,-118595,-113185,69116,233088,37367
1013483,-115231,-108422,37617,315553,166391,-113117,226120,-118595,-113167,69199,233187,37383
1013484,-115197,-108419,37599,315648,166464,-113114,226142,-118590,-113167,69168,233224,37365
1013485,-115138,-108381,37562,315677,166494,-113059,226192,-118551,-113110,69132,233268,37328
1013486,-115098,-108354,37558,315723,166625,-113044,226249,-118527,-113101,69156,233286,37323
1013487,-115067,-108338,37564,315729,166654,-113065,226262,-118498,-113117,69220,233337,37330
1013488,-115036,-108325,37572,315794,166726,-113061,226267,-118486,-113116,69242,233399,37338
1013489,-115047,-108322,37627,315845,166881,-113081,226209,-118529,-113133,69220,233458,37390
1013490,-115062,-108348,37685,315891,166947,-113059,226171,-118529,-113111,69247,233309,37451
1013491,-115081,-108389,37742,315871,166949,-113084,226147,-118547,-113137,69229,233250,37508
1013492,-115102,-108397,37707,315761,166834,-113095,226146,-118559,-113148,69266,233203,37473
1013493,-115112,-108405,37696,315687,166711,-113085,226122,-118556,-113137,69281,233043,37462
1013494,-115158,-108421,37695,315684,166584,-113080,226100,-118561,-113132,69258,232962,37462
1013495,-115227,-108453,37668,315635,166546,-113103,226010,-118599,-113156,69257,233110,37432
1013496,-115273,-108503,37612,315533,166612,-113126,225959,-118615,-113179,69208,233183,37379
1013497,-115273,-108511,37607,315496,166682,-113173,225932,-118615,-113226,69187,233110,37373
1013498,-115280,-108498,37630,315583,166621,-113194,225913,-118616,-113245,69179,232945,37394
1013499,-115252,-108470,37637,315666,166631,-113198,225817,-118629,-113251,69121,232898,37404
1013500,-115253,-108469,37618,315691,166704,-113193,225807,-118624,-113246,69060,233002,37384
1013501,-115265,-108473,37628,315719,166787,-113226,225865,-118615,-113278,69057,233011,37391
1013502,-115242,-108460,37663,315753,166790,-113291,225954,-118571,-113345,69078,233024,37428
1013503,-115208,-108451,37686,315753,166738,-113292,226045,-118512,-113346,69075,233112,37449
1013504,-115172,-108432,37719,315759,166692,-113275,226116,-118479,-113326,69086,233213,37484
1013505,-115138,-108402,37726,315767,166690,-113221,226191,-118505,-113275,69167,233221,37490
1013506,-115097,-108373,37741,315763,166621,-113140,226309,-118489,-113192,69280,233222,37508
1013507,-115048,-108321,37783,315805,166543,-113024,226362,-118480,-113077,69317,233136,37549
1013508,-115010,-108277,37820,315847,166669,-112975,226370,-118471,-113029,69220,233087,37587
1013509,-114985,-108267,37822,315825,166787,-112965,226383,-118467,-113019,69169,233086,37587
1013510,-115007,-108257,37818,315845,166728,-112972,226398,-118463,-113024,69168,233073,37583
1013511,-115014,-108284,37809,315817,166670,-112972,226378,-118476,-113028,69186,233014,37576
1013512,-115003,-108321,37779,315728,166572,-112990,226359,-118472,-113044,69222,232892,37543
1013513,-115019,-108360,37728,315548,166547,-113018,226323,-118496,-113071,69215,232966,37496
1013514,-115056,-108405,37700,315514,166626,-113081,226196,-118565,-113137,69116,233132,37462
1013515,-115116,-108425,37716,315530,166579,-113110,226061,-118595,-113165,69094,233248,37483
1013516,-115142,-108460,37691,315523,166565,-113142,226026,-118592,-113198,69061,233185,37457
1013517,-115171,-108470,37665,315555,166592,-113196,226005,-118637,-113248,69025,233178,37433
1013518,-115199,-108470,37657,315581,166618,-113234,225970,-118669,-113288,69005,233158,37423
1013519,-115208,-108478,37631,315540,166623,-113260,225986,-118670,-113315,69056,233144,37397
1013520,-115207,-108479,37574,315502,166606,-113241,226048,-118646,-113292,69118,233157,37341
1013521,-115206,-108452,37561,315554,166570,-113220,226095,-118627,-113276,69184,233206,37325
1013522,-115204,-108433,37539,315582,166580,-113199,226101,-118616,-113250,69241,233311,37305
1013523,-115156,-108416,37534,315616,166572,-113157,226137,-118579,-113208,69269,233339,37303
1013524,-115107,-108380,37615,315693,166627,-113132,226135,-118559,-113185,69245,233292,37382
1013525,-115074,-108337,37683,315797,166717,-113123,226153,-118537,-113177,69216,233202,37449
1013526,-115011,-108315,37755,315862,166752,-113105,226246,-118525,-113160,69225,233181,37519
1013527,-114991,-108316,37793,315882,166732,-113090,226281,-118506,-113144,69242,233237,37561
1013528,-114961,-108320,37797,315914,166746,-113078,226340,-118480,-113132,69254,233272,37563
1013529,-114956,-108312,37776,315908,166749,-113073,226402,-118455,-113123,69267,233283,37540
1013530,-114945,-108302,37771,315907,166725,-113069,226414,-118453,-113122,69281,233228,37534
