Timestamp (ms),Ch0 (uV),Ch1 (uV),Ch2 (uV),Ch3 (uV),Ch4 (uV),Ch5 (uV),Ch6 (uV),Ch7 (uV),Ch8 (uV),Ch9 (uV),Ch10 (uV),Ch11 (uV)
1010652,-114421,-107240,37984,315139,164358,-115472,227224,-119479,-115524,65107,231197,37748
1010653,-114450,-107254,37953,315118,164140,-115462,227157,-119497,-115513,65078,231291,37720
1010654,-114495,-107280,37888,315084,163978,-115497,227066,-119526,-115549,65048,231432,37652
1010655,-114537,-107309,37799,314994,163927,-115495,227032,-119557,-115549,65081,231561,37565
1010656,-114584,-107349,37738,314929,164074,-115549,226917,-119590,-115605,65006,231629,37503
1010657,-114640,-107374,37684,314936,164222,-115556,226866,-119588,-115610,64967,231572,37450
1010658,-114686,-107410,37695,314905,164320,-115551,226814,-119596,-115603,64957,231477,37460
1010659,-114702,-107422,37726,314819,164321,-115544,226851,-119566,-115597,64986,231384,37493
1010667,-114485,-107334,37776,315164,164660,-115425,227047,-119489,-115479,65065,231695,37543
1010668,-114446,-107316,37801,315103,164622,-115418,227112,-119472,-115474,65199,231764,37562
1010669,-114403,-107301,37834,315052,164569,-115418,227081,-119468,-115472,65264,231775,37601
1010670,-114387,-107287,37893,315029,164510,-115367,227056,-119455,-115421,65326,231645,37658
1010671,-114396,-107310,37913,315043,164544,-115404,227040,-119445,-115457,65279,231611,37681
1010672,-114431,-107330,37942,315044,164546,-115438,226953,-119463,-115491,65236,231534,37710
1010673,-114470,-107347,37899,315002,164484,-115454,226919,-119467,-115509,65215,231441,37664
1010674,-114515,-107373,37825,314964,164368,-115479,226929,-119467,-115531,65193,231419,37591
1010675,-114541,-107395,37781,314978,164223,-115513,226981,-119526,-115568,65170,231496,37550
1010676,-114593,-107426,37741,314924,164147,-115531,226973,-119535,-115581,65102,231555,37510
1010677,-114620,-107432,37751,314875,164139,-115488,227012,-119519,-115539,65068,231465,37517
1010678,-114649,-107415,37792,314881,164161,-115472,226952,-119522,-115522,65002,231294,37558
1010679,-114631,-107406,37806,314899,164143,-115416,226830,-119490,-115472,64986,231248,37572
1010680,-114630,-107380,37798,314983,164043,-115394,226730,-119497,-115446,65046,231385,37564
1010681,-114668,-107422,37770,314938,164049,-115449,226765,-119464,-115501,65110,231625,37536
1010682,-114674,-107436,37711,314884,164284,-115543,226794,-119476,-115596,65152,231782,37477
1010683,-114642,-107426,37709,314926,164410,-115565,226817,-119454,-115617,65155,231819,37474
1010684,-114593,-107397,37724,314970,164421,-115539,226895,-119430,-115591,65147,231875,37491
1010685,-114566,-107408,37750,314983,164451,-115501,226994,-119465,-115554,65205,231872,37516
1010686,-114546,-107400,37775,314999,164538,-115422,227094,-119469,-115475,65259,231939,37543
1010687,-114488,-107358,37854,315149,164650,-115382,227127,-119493,-115435,65140,231863,37618
1010688,-114451,-107343,37925,315240,164846,-115371,227118,-119515,-115425,65065,231804,37691
1010689,-114411,-107325,37952,315228,164926,-115348,227128,-119489,-115399,65088,231714,37720
1010690,-114388,-107311,37979,315275,164916,-115357,227122,-119493,-115411,65115,231584,37742
1010691,-114420,-107306,38003,315300,164918,-115406,227038,-119522,-115460,65191,231567,37771
1010692,-114490,-107320,38002,315281,164854,-115430,226954,-119509,-115481,65211,231514,37766
1010693,-114525,-107325,37989,315256,164795,-115476,226982,-119546,-115526,65160,231419,37753
1010694,-114557,-107315,37996,315275,164741,-115515,226981,-119587,-115571,65093,231315,37761
1010695,-114579,-107311,38009,315290,164719,-115532,226922,-119593,-115587,64998,231287,37773
1010696,-114575,-107300,37990,315241,164643,-115589,226882,-119613,-115643,64949,231304,37757
1010697,-114545,-107309,37971,315135,164557,-115619,226892,-119608,-115674,64954,231344,37735
1010698,-114555,-107322,37881,315086,164453,-115642,226915,-119624,-115695,64958,231487,37648
1010699,-114566,-107322,37799,315080,164356,-115662,226885,-119625,-115714,64966,231702,37565
1010700,-114569,-107342,37765,315039,164247,-115633,226909,-119596,-115688,65118,231835,37531
1010701,-114562,-107365,37782,315006,164283,-115603,226940,-119591,-115657,65205,231778,37549
1010702,-114562,-107336,37849,315086,164413,-115582,226961,-119592,-115637,65251,231646,37614
1010703,-114537,-107321,37913,315139,164532,-115569,226981,-119596,-115620,65212,231659,37679
1010704,-114493,-107291,37949,315218,164563,-115531,227052,-119591,-115587,65123,231747,37713
1010705,-114442,-107283,38018,315310,164603,-115527,227091,-119575,-115583,65144,231614,37780
1010706,-114392,-107253,38101,315408,164693,-115494,227154,-119519,-115546,65207,231509,37867
1010707,-114403,-107216,38164,315437,164784,-115463,227154,-119510,-115517,65215,231620,37928
1010708,-114420,-107190,38171,315482,164794,-115419,227139,-119490,-115472,65233,231795,37938
1010709,-114388,-107156,38211,315556,164724,-115448,227127,-119453,-115499,65276,231762,37976
1010710,-114358,-107110,38248,315648,164757,-115460,227146,-119431,-115511,65310,231472,38012
1010711,-114346,-107087,38277,315657,164678,-115457,227183,-119422,-115510,65314,231310,38040
1010712,-114370,-107118,38238,315535,164542,-115491,227147,-119473,-115543,65258,231617,38004
1010713,-114439,-107163,38184,315450,164530,-115513,227100,-119507,-115566,65168,231805,37950
1010714,-114465,-107201,38107,315400,164631,-115526,227037,-119546,-115580,65163,231784,37871
1010715,-114475,-107220,38068,315339,164680,-115546,227068,-119547,-115602,65152,231725,37831
1010716,-114489,-107236,38072,315271,164577,-115577,227053,-119557,-115631,65105,231786,37837
1010717,-114514,-107246,38053,315138,164532,-115538,226956,-119558,-115593,65123,231927,37816
1010718,-114539,-107266,38064,315063,164595,-115553,226849,-119602,-115605,65147,232007,37828
1010719,-114541,-107274,38062,315084,164622,-115532,226830,-119615,-115587,65202,231955,37826
1010720,-114550,-107260,38097,315161,164496,-115497,226882,-119576,-115550,65234,231882,37861
1010721,-114546,-107234,38129,315263,164393,-115479,226897,-119560,-115531,65221,231926,37895
1010722,-114523,-107222,38132,315269,164507,-115428,226945,-119518,-115481,65216,231887,37897
1010723,-114439,-107202,38136,315260,164627,-115425,227040,-119481,-115475,65212,231876,37900
