Timestamp (ms),Ch0 (uV),Ch1 (uV),Ch2 (uV),Ch3 (uV),Ch4 (uV),Ch5 (uV),Ch6 (uV),Ch7 (uV),Ch8 (uV),Ch9 (uV),Ch10 (uV),Ch11 (uV)
1019059,-113935,-108183,36300,312872,164432,-114321,225943,-118560,-114374,66219,231557,36067
1019060,-113930,-108187,36282,312879,164477,-114350,225942,-118545,-114401,66238,231627,36047
1019061,-113898,-108187,36318,312908,164424,-114342,225919,-118528,-114397,66325,231646,36081
1019062,-113850,-108167,36359,312916,164437,-114327,225888,-118518,-114383,66369,231626,36126
1019063,-113822,-108141,36411,312936,164497,-114295,225952,-118509,-114348,66326,231602,36175
1019064,-113797,-108126,36446,312982,164487,-114252,226042,-118501,-114304,66329,231587,36214
1019065,-113774,-108124,36447,312972,164560,-114204,226081,-118489,-114256,66381,231574,36212
1019066,-113769,-108094,36453,312997,164662,-114172,226174,-118480,-114226,66397,231621,36221
1019074,-113849,-108105,36502,313209,164477,-114286,226061,-118532,-114340,66388,231429,36270
1019075,-113862,-108110,36476,313224,164482,-114282,226010,-118542,-114334,66390,231285,36242
1019076,-113908,-108127,36442,313139,164445,-114281,225950,-118550,-114334,66359,231249,36202
1019077,-113931,-108134,36418,313066,164431,-114269,225897,-118571,-114322,66298,231334,36183
1019078,-113933,-108155,36404,313001,164323,-114275,225823,-118604,-114327,66226,231561,36171
1019079,-113902,-108174,36361,312953,164349,-114278,225859,-118602,-114331,66202,231529,36128
1019080,-113894,-108177,36366,312936,164442,-114290,225906,-118588,-114348,66193,231480,36132
1019081,-113891,-108159,36400,313018,164522,-114299,225856,-118581,-114351,66146,231484,36166
1019082,-113899,-108124,36444,313074,164573,-114293,225852,-118571,-114345,66140,231505,36211
1019083,-113886,-108113,36473,313123,164675,-114301,225924,-118576,-114353,66127,231450,36241
1019084,-113872,-108088,36495,313161,164752,-114305,225971,-118576,-114359,66189,231470,36261
1019085,-113850,-108064,36517,313201,164791,-114312,225975,-118568,-114368,66237,231462,36280
1019086,-113784,-108017,36543,313266,164818,-114283,226019,-118529,-114338,66285,231447,36309
1019087,-113754,-107997,36515,313324,164744,-114251,226085,-118500,-114303,66364,231442,36280
1019088,-113725,-107989,36509,313250,164651,-114188,226168,-118466,-114238,66431,231559,36273
1019089,-113708,-107987,36553,313222,164563,-114139,226174,-118449,-114192,66444,231682,36317
1019090,-113706,-107984,36600,313235,164542,-114150,226131,-118444,-114201,66437,231675,36364
1019091,-113726,-108031,36613,313167,164517,-114166,226118,-118469,-114219,66441,231733,36378
1019092,-113750,-108064,36586,313071,164473,-114197,226073,-118495,-114251,66360,231853,36351
1019093,-113763,-108060,36589,313102,164449,-114238,225998,-118516,-114290,66249,231758,36352
1019094,-113811,-108078,36560,313130,164440,-114314,225964,-118511,-114367,66187,231642,36326
1019095,-113852,-108097,36519,313072,164540,-114351,225951,-118531,-114403,66197,231587,36283
1019096,-113887,-108111,36491,313014,164539,-114379,225936,-118541,-114429,66156,231500,36258
1019097,-113917,-108129,36483,312987,164519,-114363,225912,-118556,-114418,66129,231501,36247
1019098,-113950,-108162,36441,312993,164449,-114365,225965,-118569,-114418,66135,231459,36204
1019099,-113952,-108153,36453,313034,164325,-114361,225992,-118611,-114412,66140,231391,36218
1019100,-113929,-108148,36454,313039,164290,-114315,226021,-118623,-114368,66187,231350,36218
1019101,-113901,-108131,36463,312919,164349,-114271,226081,-118609,-114323,66218,231320,36228
1019102,-113865,-108109,36472,312910,164425,-114271,226135,-118575,-114324,66251,231243,36236
1019103,-113815,-108067,36506,313004,164468,-114264,226169,-118560,-114317,66246,231201,36271
1019104,-113821,-108073,36507,313074,164490,-114240,226180,-118517,-114293,66349,231241,36274
1019105,-113831,-108082,36516,313153,164503,-114218,226121,-118491,-114270,66381,231373,36280
1019106,-113825,-108070,36548,313227,164611,-114205,226079,-118481,-114254,66385,231559,36311
1019107,-113837,-108047,36590,313207,164610,-114184,226106,-118442,-114238,66418,231669,36356
1019108,-113828,-108035,36610,313213,164652,-114150,226140,-118420,-114206,66446,231732,36373
1019109,-113829,-108021,36622,313244,164666,-114144,226160,-118431,-114198,66429,231862,36385
1019110,-113840,-108012,36600,313267,164667,-114142,226171,-118442,-114195,66443,231833,36369
1019111,-113837,-108011,36564,313285,164717,-114128,226144,-118461,-114182,66468,231729,36329
1019112,-113824,-108031,36495,313224,164806,-114147,226078,-118480,-114200,66429,231642,36259
1019113,-113832,-108071,36501,313238,164889,-114208,226009,-118529,-114259,66339,231541,36267
1019114,-113876,-108098,36485,313193,164899,-114242,225976,-118536,-114295,66315,231469,36250
1019115,-113904,-108114,36486,313174,164821,-114254,225930,-118545,-114306,66301,231540,36248
1019116,-113920,-108149,36499,313154,164747,-114279,225806,-118564,-114333,66276,231562,36264
