timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch8,ch9,cha,chb,chc,chd
49393.0,,,,,,,,,,,,
49394.0,,,,,,,,,,,,
49395.0,0.00018537046734934656,-0.941640250878364,-2.626766875596866,-2.5111243142037765,-2.6264986546634024,-2.627134040252452,-2.627095893275248,-2.6272031816486336,-2.6271107944382184,-2.62726993885874,-2.6266881974563834,-2.626810983039258
49396.0,0.00019192697905623664,-0.9412772585484097,-2.6267680676899037,-2.5116190328143873,-2.626505807221628,-2.6271376165315647,-2.627102449786955,-2.6272103342068593,-2.6271167549034065,-2.6272711309517778,-2.62668998559594,-2.626810983039258
49397.0,0.0001943111651314694,-0.9409220148232,-2.6267710479224977,-2.511840166072865,-2.6265069993146657,-2.627140596764159,-2.627103045833474,-2.6272091421138217,-2.6271191390894817,-2.6272747072308906,-2.6266905816424586,-2.6268127711788143
49398.0,0.00019013883949981208,-0.9405488897024261,-2.6267710479224977,-2.511856259328873,-2.6265040190820717,-2.6271388086246024,-2.627098873507842,-2.62720496978819,-2.6271137746708124,-2.6272747072308906,-2.626689389549421,-2.626813963271852
49399.0,0.00019013883949981208,-0.9401745724886146,-2.6267656835038284,-2.511890233980445,-2.626502826989034,-2.6271358283920083,-2.627097085368286,-2.6272031816486336,-2.6271131786242936,-2.627274111184372,-2.6266876014098646,-2.626810386992739
49400.0,0.00019729139772551031,-0.9397877382979081,-2.6267627032712344,-2.5118753328174748,-2.6265016348959964,-2.627134040252452,-2.62710006560088,-2.6272067579277465,-2.6271143707173312,-2.6272747072308906,-2.6266905816424586,-2.6268091948997014
49401.0,0.00020146372335716765,-0.9394050764328332,-2.6267561467595275,-2.5118359937472334,-2.6264891179191014,-2.627124503508151,-2.6270857604844284,-2.6271912607182575,-2.627102449786955,-2.6272621902539957,-2.626673296293413,-2.626800850248438
49402.0,0.00019907953728193488,-0.9389628099158775,-2.6267621072247156,-2.5117710246766833,-2.626493886291252,-2.6271328481594143,-2.6270923169961353,-2.627199009323002,-2.6271048339730303,-2.6272651704865897,-2.6266780646655636,-2.626804426527551
49403.0,0.0001937151186126612,-0.9385127947941774,-2.626754358619971,-2.511691750489682,-2.6264897139656203,-2.627124503508151,-2.627086952577466,-2.6271948369973703,-2.62710006560088,-2.6272604021144392,-2.6266756804794884,-2.6267990621088817
49404.0,0.0002050400024700168,-0.9380919859518988,-2.6267567428060463,-2.511781157467503,-2.6264915021051767,-2.6271250995546698,-2.62708993281006,-2.627196029090408,-2.627105430019549,-2.6272627863005145,-2.626677468619045,-2.6268026383879945
49405.0,0.00018954279298100387,-0.9377373382732079,-2.6267585309456027,-2.511847318631091,-2.626493886291252,-2.6271250995546698,-2.6270917209496165,-2.627195433043889,-2.6271006616473986,-2.6272604021144392,-2.626673892339932,-2.6268032344345134
49406.0,0.00019669535120670213,-0.937348715942945,-2.6267555507130087,-2.5117889060722476,-2.6264920981516955,-2.6271292718803014,-2.6270851644379096,-2.6271948369973703,-2.6271072181591055,-2.627258017928364,-2.626676872572526,-2.626798466062363
